year,variable,coefficient,std_error,ci_lower,ci_upper,p_value
2020,AI_exposure,0.055550430627568585,0.024546310348147145,0.0074405463918573445,0.10366031486327983,0.023630339872959996
2020,Portability,-0.02022826205411269,0.020115343962991382,-0.059653611758211,0.019197087649985622,0.31460151279052373
2020,AI_x_Portability,0.02509116822112256,0.019654171961480022,-0.01343030096933523,0.06361263741158035,0.20173177901759431
2021,AI_exposure,0.04761005232481252,0.024399023992421023,-0.00021115595826137062,0.0954312606078864,0.051020215209480184
2021,Portability,-0.02779793467123627,0.01927404645099325,-0.06557437155153509,0.009978502209062545,0.14923272054487657
2021,AI_x_Portability,0.05370644714577291,0.019383370502461507,0.01571573906195231,0.09169715522959351,0.0055927584990138664
2022,AI_exposure,0.0,0.0,0.0,0.0,
2022,Portability,0.0,0.0,0.0,0.0,
2022,AI_x_Portability,0.0,0.0,0.0,0.0,
2023,AI_exposure,0.014142431374923487,0.021012486881212735,-0.027041286137873842,0.05532614888772081,0.5009161758244141
2023,Portability,-0.005997796010242821,0.01851442697555216,-0.0422854060767219,0.030289814056236257,0.7459739508551093
2023,AI_x_Portability,0.01701763378440211,0.019826287013907786,-0.021841174710011325,0.055876442278815545,0.39070645801067516
2024,AI_exposure,-0.01158963125817382,0.024417192866532426,-0.0594464498801457,0.03626718736379806,0.6350361503313596
2024,Portability,-0.001743783134394825,0.023183326314671536,-0.04718226775299074,0.043694701484201084,0.9400419598214969
2024,AI_x_Portability,0.018670991714361134,0.020843614875621662,-0.022181742749480638,0.05952372617820291,0.3703780037130141
2025,AI_exposure,0.016292436006298275,0.021749091158938912,-0.0263349993617005,0.05891987137429705,0.45379161962655734
2025,Portability,-0.03589696488649317,0.021587431334894464,-0.07820755282161773,0.006413623048631405,0.0963396391476031
2025,AI_x_Portability,0.014866561676001705,0.0225790237535463,-0.029387511687023422,0.059120635039026835,0.5102659869483663
