model,variable,coefficient,std_error,t_stat,p_value,r_squared,n_obs
full,emp_trend_z,0.0004009217876569295,0.0010415308404736925,0.38493510905024053,0.7002854931512723,0.020163644414896154,524
full,portability_z,-0.0010716464713907017,0.00040377114578516484,-2.6540937424015296,0.007952173164546071,0.020163644414896154,524
portability_only,portability_z,-0.0010731758726827863,0.0004026936768551746,-2.6649931060843177,0.007698990104578661,0.01769418566557812,524
trend_only,emp_trend_z,0.0004050098106790259,0.0010541392297772302,0.3842090297356793,0.7008235262327054,0.002520112139386188,524
ai_additive,emp_trend_z,0.0003212325496961824,0.0010273030114022772,0.3126950336276123,0.7545123690879992,0.02610317633944681,524
ai_additive,portability_z,-0.0009208221072142791,0.00043713637707012997,-2.1064870267398295,0.035162068853090894,0.02610317633944681,524
ai_additive,ai_z,-0.0006448189505967862,0.000366338138028784,-1.7601742315623206,0.07837826966829911,0.02610317633944681,524
ai_interaction,emp_trend_z,0.00033551265452055873,0.0010119506896398972,0.33155039860682434,0.74022877893553,0.026538603335503064,524
ai_interaction,portability_z,-0.00092646818111395,0.00044185494324224835,-2.0967699813782796,0.03601394213138499,0.026538603335503064,524
ai_interaction,ai_z,-0.0006534506360902747,0.0003499865007750244,-1.8670738289712514,0.061891278551095344,0.026538603335503064,524
ai_interaction,port_x_ai,-0.0001758333782597264,0.000464432811606832,-0.37859809614093126,0.7049863361592313,0.026538603335503064,524
subsample_high_ai,emp_trend_z,-0.0016668820670764667,0.0012646866347486645,-1.3180198329586459,0.18749700879636066,0.06991846835294346,262
subsample_high_ai,portability_z,-0.0007841349639976808,0.000580185856264176,-1.3515237497286399,0.17652771732927075,0.06991846835294346,262
subsample_low_ai,emp_trend_z,0.002152119804385241,0.0011947657147602145,1.8012902260232366,0.07165714757029254,0.06883301637720163,262
subsample_low_ai,portability_z,-0.0007505275570547521,0.0005334609392318896,-1.406902552481928,0.15945628660967726,0.06883301637720163,262
